Order ID,Order Date,Customer ID,Region,Product ID,Category,Quantity,Unit Price,Total Price
ORD100000,2022-01-17,CUST00363,West,P0011,Books,9.0,488.53,4396.7699999999995
ORD100001,2022-07-11,CUST00280,South,P0033,Home,6.0,357.94,2147.64
ORD100002,2021-03-24,CUST00303,,P0087,Home,1.0,473.13,473.13
ORD100003,2021-08-20,CUST00177,East,P0012,,2.0,156.77,313.54
ORD100004,2022-06-09,CUST00116,South,P0081,Books,7.0,178.56,1249.92
ORD100005,2021-03-30,CUST00433,East,P0066,Books,3.0,406.01,1218.03
ORD100006,2021-01-08,CUST00143,North,P0029,Home,1.0,197.8,197.8
ORD100007,2021-02-13,CUST00020,East,P0023,Electronics,3.0,250.9,752.7
ORD100008,2021-12-31,CUST00300,North,P0075,Home,3.0,13.26,39.78
ORD100009,2021-02-14,CUST00392,East,P0073,Books,5.0,347.91,1739.5500000000002
ORD100010,2021-12-04,CUST00239,North,P0074,Clothing,8.0,148.66,1189.28
ORD100011,2022-01-04,CUST00497,North,P0075,Books,3.0,,344.58
ORD100012,2022-03-01,CUST00316,South,P0006,Home,7.0,8.48,59.36
ORD100013,2021-05-21,CUST00225,South,P0041,Toys,6.0,404.75,2428.5
ORD100014,2022-06-24,CUST00049,South,P0090,Grocery,,65.22,456.53999999999996
ORD100015,2022-12-11,CUST00320,North,P0021,Clothing,7.0,331.3,2319.1
ORD100016,2021-06-13,CUST00426,South,P0077,Clothing,6.0,178.6,1071.6
ORD100017,2021-08-01,CUST00168,North,P0092,Electronics,1.0,228.03,228.03
ORD100018,2022-09-02,CUST00080,North,P0058,Toys,6.0,418.92,2513.52
ORD100019,2021-05-12,CUST00274,South,P0024,Books,9.0,40.59,365.31000000000006
ORD100020,2022-02-01,CUST00052,East,P0019,Books,7.0,427.73,2994.11
ORD100021,2022-12-15,CUST00331,West,P0054,Books,9.0,480.19,4321.71
ORD100022,2021-01-01,CUST00048,South,P0070,Electronics,4.0,16.88,67.52
ORD100023,2022-09-22,CUST00123,West,P0064,Electronics,4.0,181.14,724.56
ORD100024,2022-12-04,CUST00179,East,P0046,Electronics,4.0,337.43,1349.72
ORD100025,2021-12-19,CUST00254,North,P0043,Electronics,2.0,197.14,394.28
ORD100026,2022-09-09,CUST00208,West,P0075,Books,8.0,76.59,612.72
ORD100027,2021-11-21,CUST00013,East,P0097,Grocery,5.0,175.49,877.45
ORD100028,2021-07-27,CUST00348,East,P0002,,8.0,280.77,2246.16
ORD100029,2021-10-23,CUST00469,North,P0096,Grocery,5.0,345.6,1728.0
ORD100030,2022-02-15,CUST00186,South,P0086,Home,3.0,393.95,1181.85
,,,,,,,,
ORD100032,2022-03-11,,East,P0008,Books,2.0,196.51,393.02
ORD100033,2021-03-04,CUST00208,North,P0060,Home,9.0,362.95,3266.5499999999997
ORD100034,2022-11-11,CUST00494,,P0049,Clothing,5.0,299.46,1497.3
ORD100035,2021-06-09,CUST00339,West,P0022,Clothing,1.0,263.24,263.24
ORD100036,2021-09-14,CUST00219,North,P0025,Clothing,,85.57,770.1299999999999
ORD100037,2022-08-03,CUST00339,West,P0060,Toys,5.0,9.68,48.4
ORD100038,2021-04-11,CUST00280,East,P0020,Grocery,3.0,340.13,1020.39
ORD100039,2022-10-24,CUST00078,North,P0005,Books,6.0,43.18,259.08
ORD100040,2021-03-24,CUST00132,East,P0086,Electronics,6.0,37.81,226.86
ORD100041,2021-05-01,CUST00307,South,P0031,Toys,3.0,299.51,898.53
ORD100042,2021-10-17,CUST00332,West,P0006,Toys,1.0,17.27,17.27
ORD100043,2021-12-28,CUST00183,,P0073,Toys,1.0,385.22,385.22
ORD100044,2022-05-21,CUST00146,North,P0010,Electronics,4.0,289.99,1159.96
ORD100045,2021-12-29,CUST00215,South,P0006,Clothing,5.0,156.76,783.8
ORD100046,2021-10-23,CUST00140,North,P0052,Grocery,4.0,462.21,1848.84
ORD100047,2022-05-23,CUST00407,North,P0068,Clothing,8.0,405.85,3246.8
ORD100048,2021-02-25,CUST00053,,P0023,Books,8.0,80.22,641.76
ORD100049,2022-12-03,CUST00015,North,P0068,Books,1.0,459.37,459.37
ORD100050,2021-09-02,CUST00489,East,P0008,Grocery,3.0,279.35,838.0500000000001
ORD100051,2021-04-27,CUST00491,South,P0064,Toys,6.0,455.4,2732.3999999999996
ORD100052,2022-12-03,CUST00143,South,P0072,Toys,6.0,264.03,1584.1799999999998
ORD100053,2022-11-14,CUST00414,West,P0073,Electronics,1.0,155.56,155.56
ORD100054,2021-05-17,CUST00277,West,P0031,Books,5.0,6.61,33.050000000000004
ORD100055,2022-09-11,CUST00025,North,P0075,Electronics,2.0,369.44,738.88
ORD100056,2021-03-29,CUST00335,South,P0048,Clothing,2.0,,32.98
ORD100057,2021-01-06,CUST00257,South,P0074,Books,9.0,358.52,3226.68
ORD100058,2022-07-04,CUST00416,East,P0051,Grocery,3.0,286.13,858.39
ORD100059,2022-08-12,CUST00380,East,P0078,Toys,6.0,423.57,2541.42
ORD100060,2021-03-13,CUST00244,North,P0043,Home,8.0,496.66,3973.28
ORD100061,2021-08-15,CUST00466,South,P0019,,8.0,424.27,3394.16
ORD100062,2021-04-02,CUST00178,East,P0067,Books,3.0,32.36,97.08
ORD100063,2021-12-18,CUST00266,East,P0017,Electronics,1.0,105.63,105.63
ORD100064,2021-08-07,CUST00017,East,P0093,Grocery,9.0,131.18,1180.6200000000001
ORD100065,2022-03-24,CUST00351,West,P0023,Electronics,4.0,462.6,1850.4
ORD100066,2022-01-18,CUST00087,,P0073,Books,1.0,341.05,341.05
ORD100067,2021-05-08,CUST00101,South,P0009,,8.0,314.54,2516.32
ORD100068,2022-10-10,CUST00196,South,P0008,Home,7.0,145.78,1020.46
ORD100069,2021-06-11,CUST00326,East,P0084,Grocery,1.0,377.24,377.24
ORD100070,2021-05-08,CUST00096,West,P0005,Grocery,5.0,323.79,1618.95
ORD100071,2022-04-14,CUST00157,West,P0065,Home,6.0,449.93,2699.58
ORD100072,2021-02-26,CUST00337,South,P0001,Clothing,5.0,419.07,2095.35
ORD100073,2022-05-04,CUST00126,East,P0020,Books,2.0,374.3,748.6
ORD100074,2022-09-28,CUST00061,West,P0052,Clothing,1.0,297.98,297.98
ORD100075,2021-03-31,CUST00344,East,P0003,Books,8.0,143.56,1148.48
ORD100076,2022-12-29,CUST00145,South,P0049,Books,9.0,278.29,2504.61
ORD100077,2022-01-19,CUST00219,North,P0072,Toys,,378.85,1136.5500000000002
ORD100078,2021-02-02,CUST00448,West,P0082,Clothing,4.0,397.2,1588.8
ORD100079,2022-01-30,CUST00223,East,P0038,Clothing,5.0,288.21,1441.05
ORD100080,2021-12-21,CUST00403,South,P0018,Books,2.0,376.0,752.0
ORD100081,2022-09-15,CUST00040,West,P0052,Toys,5.0,17.42,87.10000000000001
ORD100082,2021-10-11,CUST00296,South,P0089,Grocery,6.0,106.66,639.96
ORD100083,2022-08-11,CUST00283,South,P0071,Grocery,,476.83,2860.98
ORD100084,2022-05-11,CUST00148,North,P0011,Toys,6.0,63.82,382.92
ORD100085,2021-05-03,CUST00351,South,P0056,Clothing,7.0,363.32,2543.24
ORD100086,2022-05-24,CUST00365,South,P0042,Electronics,2.0,184.12,368.24
ORD100087,2022-05-29,CUST00256,East,P0027,Electronics,7.0,168.79,1181.53
ORD100088,2022-08-08,CUST00026,North,P0055,Clothing,,127.67,383.01
ORD100089,2022-06-12,CUST00182,West,P0044,,2.0,413.68,827.36
ORD100090,2022-11-16,CUST00194,West,P0053,Grocery,5.0,282.41,1412.0500000000002
ORD100091,2022-05-09,CUST00202,West,P0011,Clothing,8.0,263.71,2109.68
ORD100092,2022-12-09,CUST00372,South,P0005,Books,9.0,110.48,994.32
ORD100093,2022-06-19,CUST00478,South,P0018,Electronics,6.0,104.87,629.22
ORD100094,2022-06-04,CUST00271,West,P0094,Clothing,9.0,207.1,1863.8999999999999
ORD100095,2021-05-12,CUST00387,South,P0067,Grocery,2.0,9.27,18.54
ORD100096,2022-12-27,,,P0014,Grocery,4.0,101.17,404.68
ORD100097,2022-05-03,CUST00385,,P0073,Books,2.0,151.78,303.56
ORD100098,2021-03-17,CUST00120,West,P0037,Clothing,,42.85,128.55
ORD100099,2021-10-31,CUST00303,North,P0036,Toys,2.0,477.8,955.6
ORD100100,2021-07-11,CUST00408,East,P0051,Electronics,9.0,279.31,2513.79
ORD100101,2021-01-11,CUST00432,East,P0033,Toys,5.0,184.5,922.5
ORD100102,2021-08-27,CUST00480,South,P0034,Home,6.0,101.46,608.76
ORD100103,2022-02-02,CUST00048,South,P0038,Clothing,1.0,495.86,495.86
ORD100104,2021-11-12,,South,P0070,Clothing,5.0,6.53,32.65
ORD100105,2021-08-25,CUST00462,,P0022,Home,4.0,389.22,1556.88
ORD100106,2021-04-05,CUST00423,West,P0004,,1.0,365.04,365.04
ORD100107,2021-08-08,CUST00219,West,P0034,Books,7.0,56.82,397.74
ORD100108,2022-07-04,CUST00231,West,P0049,Home,8.0,85.69,685.52
ORD100109,2021-02-08,CUST00327,West,P0098,Electronics,4.0,297.77,1191.08
ORD100110,2021-12-25,CUST00096,South,P0095,Clothing,4.0,329.56,1318.24
ORD100111,2021-10-24,,East,P0083,Home,4.0,343.0,1372.0
ORD100112,2022-12-24,CUST00163,West,P0059,Toys,5.0,310.18,1550.9
ORD100113,2021-04-10,CUST00196,,P0048,Clothing,7.0,54.15,379.05
ORD100114,2021-01-02,CUST00201,West,P0011,Clothing,6.0,217.01,1302.06
ORD100115,2022-04-16,CUST00025,North,P0096,Toys,2.0,469.61,939.22
ORD100116,2021-04-04,CUST00451,West,P0016,Books,2.0,231.63,463.26
ORD100117,2022-11-10,CUST00405,South,P0074,Books,3.0,27.26,81.78
ORD100118,2022-02-11,CUST00276,North,P0062,Home,9.0,,365.13
ORD100119,2021-07-05,CUST00179,North,P0081,Grocery,5.0,278.66,1393.3000000000002
ORD100120,2022-03-16,CUST00080,North,P0065,Clothing,2.0,,294.6
ORD100121,2021-09-19,,East,P0065,Electronics,7.0,354.59,2482.1299999999997
ORD100122,2022-05-31,CUST00206,West,P0047,Books,6.0,198.13,1188.78
ORD100123,2021-04-13,CUST00255,North,P0027,Books,6.0,354.49,2126.94
,,,,,,,,
ORD100125,2021-03-23,CUST00350,South,P0072,Home,1.0,163.99,163.99
ORD100126,2022-09-20,CUST00241,West,P0068,Clothing,1.0,189.32,189.32
ORD100127,2022-07-20,CUST00434,East,P0018,Grocery,4.0,,387.2
ORD100128,2021-07-08,CUST00309,West,P0082,Home,9.0,416.38,3747.42
ORD100129,2021-09-12,CUST00112,North,P0093,Electronics,2.0,44.98,89.96
ORD100130,2022-12-26,CUST00275,North,P0046,Books,8.0,371.55,2972.4
ORD100131,2022-02-11,CUST00086,North,P0006,Grocery,2.0,231.53,463.06
ORD100132,2022-01-22,CUST00232,South,P0044,Grocery,2.0,57.5,115.0
ORD100133,2022-07-02,CUST00285,East,P0033,Books,9.0,223.0,2007.0
ORD100134,2021-08-23,CUST00376,West,P0071,Toys,8.0,203.43,1627.44
ORD100135,2022-08-17,CUST00003,West,P0019,Home,6.0,452.97,2717.82
ORD100136,2022-02-23,CUST00203,West,P0057,Clothing,5.0,255.81,1279.05
ORD100137,2021-06-09,CUST00248,East,P0044,Books,4.0,137.28,549.12
ORD100138,2022-11-26,CUST00475,,P0064,Grocery,4.0,253.8,1015.2
ORD100139,2022-02-07,CUST00282,North,P0069,Books,6.0,78.23,469.38
ORD100140,2021-01-19,CUST00180,East,P0062,Clothing,1.0,,327.71
ORD100141,2022-07-14,,North,P0034,Grocery,1.0,389.68,389.68
ORD100142,2021-11-30,CUST00121,East,P0026,Toys,3.0,427.48,1282.44
ORD100143,2022-05-03,CUST00282,East,P0026,Grocery,6.0,453.6,2721.6000000000004
ORD100144,2022-06-24,CUST00447,East,P0053,Electronics,5.0,41.71,208.55
ORD100145,2022-01-30,CUST00497,East,P0013,Home,5.0,306.1,1530.5
ORD100146,2022-10-31,CUST00429,,P0093,Books,1.0,146.84,146.84
ORD100147,2021-01-08,CUST00086,North,P0018,Electronics,2.0,185.45,370.9
ORD100148,2022-01-03,CUST00305,South,P0065,Electronics,5.0,91.75,458.75
ORD100149,2021-04-28,CUST00393,East,P0088,,4.0,484.25,1937.0
ORD100150,2022-11-29,CUST00488,South,P0072,Electronics,4.0,48.39,193.56
ORD100151,2022-05-23,CUST00177,South,P0055,Books,5.0,30.49,152.45
ORD100152,2021-07-15,CUST00355,West,P0047,Clothing,1.0,461.22,461.22
ORD100153,2022-11-11,CUST00228,North,P0037,Toys,4.0,203.55,814.2
ORD100154,2021-07-22,CUST00175,West,P0072,Home,6.0,,2477.52
ORD100155,2021-08-24,CUST00492,North,P0094,Clothing,7.0,341.56,2390.92
ORD100156,2021-04-12,CUST00477,North,P0068,Toys,2.0,71.98,143.96
ORD100157,2021-02-03,CUST00051,South,P0065,Grocery,4.0,342.49,1369.96
ORD100158,2022-01-28,CUST00013,East,P0023,Toys,7.0,112.68,788.76
ORD100159,2022-05-15,,South,P0035,Home,4.0,139.38,557.52
ORD100160,2022-05-05,CUST00313,East,P0034,Toys,7.0,212.11,1484.77
ORD100161,2022-05-08,CUST00482,West,P0061,Clothing,5.0,95.33,476.65
ORD100162,2022-06-27,CUST00137,West,P0073,Grocery,5.0,158.63,793.15
ORD100163,2021-01-12,CUST00412,West,P0071,Home,4.0,102.76,411.04
,,,,,,,,
ORD100165,2022-08-26,CUST00123,West,P0040,Toys,7.0,,2820.3700000000003
ORD100166,2021-10-02,CUST00074,North,P0010,Toys,6.0,301.13,1806.78
ORD100167,2022-06-04,CUST00414,North,P0078,Books,4.0,461.81,1847.24
ORD100168,2021-12-11,CUST00225,East,P0035,Toys,2.0,138.97,277.94
ORD100169,2022-12-17,CUST00176,East,P0039,Clothing,2.0,378.96,757.92
ORD100170,2022-11-26,CUST00078,West,P0076,Grocery,5.0,134.59,672.95
ORD100171,2022-11-17,CUST00076,East,P0077,Clothing,2.0,119.57,239.14
ORD100172,2021-10-20,CUST00316,South,P0003,,7.0,298.59,2090.1299999999997
ORD100173,2022-05-02,CUST00301,East,P0038,Electronics,5.0,56.2,281.0
ORD100174,2021-04-16,CUST00014,East,P0082,Toys,6.0,436.52,2619.12
ORD100175,2022-10-28,CUST00246,West,P0011,Grocery,9.0,218.51,1966.59
ORD100176,2021-01-21,CUST00247,,P0082,,7.0,337.38,2361.66
ORD100177,2022-06-24,CUST00163,North,P0052,Grocery,6.0,94.54,567.24
ORD100178,2021-12-23,CUST00056,East,P0039,Toys,6.0,164.66,987.96
ORD100179,2021-11-30,CUST00134,East,P0013,Books,7.0,254.11,1778.77
ORD100180,2022-02-19,CUST00003,East,P0066,Home,8.0,66.47,531.76
ORD100181,2022-05-20,CUST00459,North,P0066,Books,2.0,490.51,981.02
ORD100182,2021-01-03,CUST00330,South,P0044,Electronics,6.0,449.01,2694.06
ORD100183,2021-12-30,CUST00390,,P0072,Electronics,9.0,327.59,2948.31
ORD100184,2022-10-28,CUST00148,East,P0015,Books,6.0,312.52,1875.12
ORD100185,2021-01-02,CUST00186,West,P0053,Electronics,4.0,143.68,574.72
ORD100186,2021-03-22,CUST00081,,P0091,Grocery,8.0,284.28,2274.24
ORD100187,2021-04-01,CUST00291,East,P0090,Books,7.0,222.92,1560.4399999999998
ORD100188,2021-02-13,,North,P0093,Clothing,8.0,41.42,331.36
ORD100189,2022-10-07,CUST00437,East,P0039,Home,3.0,98.03,294.09000000000003
ORD100190,2021-07-14,CUST00260,South,P0006,Books,1.0,84.14,84.14
ORD100191,2022-11-02,CUST00459,South,P0038,Electronics,4.0,353.27,1413.08
ORD100192,2021-08-31,CUST00391,West,P0066,Clothing,6.0,35.93,215.57999999999998
ORD100193,2021-03-28,CUST00355,South,P0092,Toys,2.0,377.48,754.96
ORD100194,2021-11-25,,East,P0046,Books,8.0,371.33,2970.64
ORD100195,2022-03-13,CUST00174,South,P0034,,1.0,482.6,482.6
ORD100196,2021-10-17,CUST00271,West,P0030,Clothing,2.0,59.92,119.84
ORD100197,2021-02-25,CUST00039,South,P0063,Electronics,6.0,276.15,1656.8999999999999
ORD100198,2021-10-22,CUST00124,South,P0002,Electronics,8.0,225.33,1802.64
ORD100199,2021-05-14,CUST00005,South,P0074,Grocery,5.0,340.45,1702.25
ORD100200,2022-11-02,,East,P0079,Books,8.0,400.25,3202.0
ORD100201,2021-06-06,CUST00062,South,P0095,Toys,3.0,280.44,841.3199999999999
ORD100202,2022-11-04,CUST00330,South,P0043,Electronics,5.0,318.61,1593.0500000000002
ORD100203,2022-09-25,CUST00105,South,P0091,Books,8.0,101.6,812.8
ORD100204,2022-12-06,CUST00014,North,P0013,Clothing,5.0,188.48,942.4
ORD100205,2022-04-03,CUST00187,East,P0071,Clothing,4.0,364.94,1459.76
ORD100206,2021-12-06,CUST00271,East,P0100,Grocery,,9.29,27.869999999999997
ORD100207,2022-10-28,CUST00050,East,P0061,Home,5.0,315.91,1579.5500000000002
ORD100208,2021-02-23,CUST00255,South,P0003,,9.0,223.06,2007.54
ORD100209,2021-02-20,CUST00027,South,P0066,Grocery,6.0,125.51,753.0600000000001
ORD100210,2021-06-04,CUST00418,West,P0079,Home,9.0,459.47,4135.2300000000005
ORD100211,2022-05-07,CUST00019,West,P0059,Grocery,7.0,398.29,2788.03
ORD100212,2021-01-03,CUST00139,North,P0031,Clothing,4.0,42.86,171.44
ORD100213,2022-04-13,CUST00363,West,P0092,Electronics,7.0,53.39,373.73
ORD100214,2022-08-17,CUST00059,South,P0039,Electronics,8.0,362.08,2896.64
ORD100215,2021-11-09,CUST00382,East,P0015,Toys,4.0,61.01,244.04
ORD100216,2021-11-18,CUST00333,East,P0078,Clothing,4.0,9.9,39.6
ORD100217,2022-03-20,CUST00246,West,P0088,Books,2.0,243.47,486.94
ORD100218,2022-05-01,CUST00373,West,P0052,Electronics,,253.95,1015.8
ORD100219,2022-02-05,CUST00153,South,P0095,Grocery,7.0,455.88,3191.16
ORD100220,2022-03-17,CUST00237,West,P0057,Books,5.0,94.72,473.6
ORD100221,2021-12-05,CUST00342,East,P0086,Electronics,6.0,302.33,1813.98
ORD100222,2022-11-26,CUST00238,East,P0066,Books,4.0,96.87,387.48
ORD100223,2021-12-17,CUST00381,North,P0095,Toys,1.0,441.93,441.93
ORD100224,2021-12-04,CUST00409,East,P0082,Electronics,4.0,109.25,437.0
ORD100225,2022-02-17,CUST00282,,P0014,Home,,126.18,630.9000000000001
ORD100226,2022-01-24,CUST00299,South,P0017,Books,9.0,86.33,776.97
ORD100227,2022-05-05,CUST00187,North,P0095,Clothing,3.0,385.7,1157.1
ORD100228,2021-07-15,CUST00062,South,P0009,Grocery,6.0,323.66,1941.96
ORD100229,2022-10-26,CUST00392,East,P0014,Toys,2.0,234.23,468.46
ORD100230,2022-05-04,CUST00231,East,P0065,Toys,2.0,226.16,452.32
ORD100231,2021-04-12,CUST00137,South,P0082,Grocery,3.0,353.36,1060.08
ORD100232,2021-06-28,CUST00115,East,P0002,Grocery,7.0,265.17,1856.19
ORD100233,2022-02-16,CUST00048,North,P0096,Grocery,6.0,172.26,1033.56
ORD100234,2021-06-21,CUST00456,East,P0046,Electronics,5.0,386.09,1930.4499999999998
ORD100235,2022-01-15,CUST00007,South,P0062,Home,7.0,185.41,1297.87
ORD100236,2022-05-18,CUST00493,South,P0043,Books,2.0,90.05,180.1
ORD100237,2022-12-11,CUST00176,North,P0043,Home,2.0,226.21,452.42
ORD100238,2022-01-17,CUST00329,North,P0096,Toys,1.0,474.33,474.33
ORD100239,2021-03-05,CUST00462,East,P0052,,5.0,,1243.3
ORD100240,2022-10-02,CUST00324,East,P0054,Toys,2.0,395.26,790.52
ORD100241,2022-01-28,CUST00282,East,P0039,Books,5.0,,1351.3999999999999
ORD100242,2022-04-24,,West,P0019,Grocery,4.0,153.34,613.36
ORD100243,2022-04-07,CUST00484,East,P0057,Toys,4.0,89.93,359.72
ORD100244,2021-03-10,,West,P0033,Toys,3.0,325.17,975.51
ORD100245,2021-07-02,CUST00178,South,P0010,Toys,2.0,465.29,930.58
ORD100246,2021-06-13,CUST00422,South,P0030,Books,4.0,227.93,911.72
ORD100247,2021-12-11,CUST00437,South,P0079,Books,5.0,105.05,525.25
ORD100248,2021-08-18,CUST00462,East,P0040,Grocery,2.0,360.99,721.98
ORD100249,2021-07-31,CUST00300,North,P0059,Home,1.0,368.78,368.78
